Date,Symbol,Action,Quantity,Price
2023-04-17 20:40:10,SPY,Sell,100,264.07
2023-04-17 20:40:10,SPY,Buy,100,285.99
2023-04-17 20:40:10,SPY,Sell,100,257.36
2023-04-17 20:40:10,SPY,Buy,100,317.64
2023-04-17 20:40:10,SPY,Sell,100,426.17
2023-04-17 20:40:10,SPY,Buy,100,412.35
2023-04-17 20:40:21,SPY,Sell,100,264.07
2023-04-17 20:40:21,SPY,Buy,100,285.99
2023-04-17 20:40:21,SPY,Sell,100,257.36
2023-04-17 20:40:21,SPY,Buy,100,317.64
2023-04-17 20:40:21,SPY,Sell,100,426.17
2023-04-17 20:40:21,SPY,Buy,100,412.35
